,player_id,batsman,line,length,runs_scored,balls_faced,dismissals,batting_average,batting_strike_rate,Country
75,51880,Chris Gayle,OUTSIDE_OFFSTUMP,GOOD_LENGTH,676,587,25,27.04,115.16,West Indies
76,51880,Chris Gayle,ON_THE_STUMPS,GOOD_LENGTH,686,587,21,32.67,116.87,West Indies
77,236489,Dawid Malan,OUTSIDE_OFFSTUMP,GOOD_LENGTH,777,587,20,38.85,132.37,England
78,42657,Shoaib Malik,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,653,576,21,31.1,113.37,Pakistan
79,236489,Dawid Malan,ON_THE_STUMPS,GOOD_LENGTH,714,570,32,22.31,125.26,England
80,277906,Kane Williamson,ON_THE_STUMPS,GOOD_LENGTH,591,558,16,36.94,105.91,New Zealand
81,823509,Glenn Phillips,OUTSIDE_OFFSTUMP,GOOD_LENGTH,577,554,22,26.23,104.15,New Zealand
82,625371,Hardik Pandya,OUTSIDE_OFFSTUMP,GOOD_LENGTH,605,553,25,24.2,109.4,India
83,226492,Martin Guptill,ON_THE_STUMPS,GOOD_LENGTH,588,552,21,28.0,106.52,New Zealand
84,603410,Ben McDermott,OUTSIDE_OFFSTUMP,GOOD_LENGTH,541,550,21,25.76,98.36,Australia
85,348144,Babar Azam,OUTSIDE_OFFSTUMP,FULL,723,549,18,40.17,131.69,Pakistan
86,230193,Matthew Wade,OUTSIDE_OFFSTUMP,GOOD_LENGTH,637,546,31,20.55,116.67,Australia
87,277906,Kane Williamson,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,644,544,15,42.93,118.38,New Zealand
88,253802,Virat Kohli,OUTSIDE_OFFSTUMP,FULL,855,543,10,85.5,157.46,India
89,512191,Fakhar Zaman,ON_THE_STUMPS,GOOD_LENGTH,709,543,23,30.83,130.57,Pakistan
90,446507,Suryakumar Yadav,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,764,543,13,58.77,140.7,India
91,5961,Moises Henriques,OUTSIDE_OFFSTUMP,GOOD_LENGTH,565,539,22,25.68,104.82,Australia
92,30045,Dinesh Karthik,OUTSIDE_OFFSTUMP,GOOD_LENGTH,641,535,22,29.14,119.81,India
93,35582,Robin Uthappa,OUTSIDE_OFFSTUMP,GOOD_LENGTH,571,533,20,28.55,107.13,India
94,308967,Jos Buttler,OUTSIDE_OFFSTUMP,FULL,1038,532,22,47.18,195.11,England
95,1070173,Shubman Gill,ON_THE_STUMPS,GOOD_LENGTH,627,531,19,33.0,118.08,India
96,28235,Shikhar Dhawan,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,611,530,16,38.19,115.28,India
97,8180,Shane Watson,ON_THE_STUMPS,GOOD_LENGTH,603,530,25,24.12,113.77,Australia
98,51862,Andre Fletcher,ON_THE_STUMPS,GOOD_LENGTH,610,528,30,20.33,115.53,West Indies
99,28235,Shikhar Dhawan,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,605,526,9,67.22,115.02,India
100,318845,Rilee Rossouw,OUTSIDE_OFFSTUMP,GOOD_LENGTH,601,525,19,31.63,114.48,South Africa
101,56025,Mahmudullah,OUTSIDE_OFFSTUMP,GOOD_LENGTH,627,523,23,27.26,119.89,Bangladesh
